ap_id,gu,install_year,install_type_code,install_type,indoor_outdoor,lon,lat,usage_gb
1373,강남구,2017.0,4,문화관광,실내,127.02853,37.51144,114.4803633
1374,강남구,2017.0,4,문화관광,실내,127.02853,37.51144,62.1184805
1375,강남구,2017.0,4,문화관광,실내,127.02853,37.51144,73.9277299
1376,강남구,2023.0,1,주요거리,실외,127.025955,37.51618,247.8211781
1377,강남구,2023.0,1,주요거리,실외,127.02421,37.514477,266.6456572
1378,강남구,2023.0,1,주요거리,실외,127.0236,37.515484,314.112184
1379,강남구,2018.0,1,주요거리,실외,127.02595,37.507607,103.6939161
1380,강남구,2019.0,7,공공시설,실내,127.03715,37.517155,502.5388996
1381,강남구,2019.0,7,공공시설,실내,127.04929,37.525036,437.260583
1382,강남구,2017.0,4,문화관광,실내,127.04929,37.52509,161.5806904
1383,강남구,2017.0,4,문화관광,실내,127.04929,37.52509,9.580715
1384,강남구,2017.0,4,문화관광,실내,127.04929,37.52509,49.8993578
1385,강남구,2017.0,4,문화관광,실내,127.04929,37.52509,113.2673665
1386,강남구,2019.0,7,공공시설,실내,127.06261,37.514317,883.3523339
1387,강남구,2017.0,6,복지시설,실내,127.05208,37.515972,594.4134321
1388,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,489.551602
1389,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,95.4518685
1390,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,422.6171802
1391,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,646.4657047
1392,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,62.5829758
1393,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,866.2995802
1394,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,49.0655319
1395,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,281.890535
1396,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,792.4321971
1397,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,174.6532156
1398,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,273.01045
1399,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,309.2843295
1400,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,446.1993674
1401,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,466.1567109
1402,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,283.7743444
1403,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,563.2313605
1404,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,2.8083123
1405,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,258.2049101
1406,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,196.2283809
1407,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,200.7740925
1408,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,158.1911348
1409,강남구,2017.0,7,공공시설,실내,127.04746,37.51752,75.0865616
