ap_id,gu,install_type_code,lon,lat,age_norm,usage_norm,density_norm,cluster_k3,cluster_k4
24,도봉구,1,127.02034,37.649178,0.35714285714285715,0.03932219187629188,0.007317073170731708,2,2
25,도봉구,1,127.03793,37.657135,0.35714285714285715,0.21938133532977636,0.0024390243902439024,2,2
26,도봉구,1,127.033844,37.651608,0.35714285714285715,0.006041875401417358,0.012195121951219513,2,2
27,도봉구,1,127.03455,37.65409,0.35714285714285715,0.08734752989739814,0.00975609756097561,2,2
28,도봉구,3,127.033516,37.65376,0.35714285714285715,0.11181647620510302,0.00975609756097561,2,2
29,도봉구,3,127.03365,37.653683,0.35714285714285715,0.12336079920500258,0.00975609756097561,2,2
30,도봉구,1,127.036995,37.65397,0.35714285714285715,0.16992354038159754,0.00975609756097561,2,2
31,도봉구,1,127.03498,37.65901,0.35714285714285715,0.25778670733439163,0.026829268292682926,2,0
32,도봉구,1,127.03492,37.659355,0.35714285714285715,0.5262391886878598,0.03170731707317073,1,0
33,도봉구,1,127.03639,37.66107,0.35714285714285715,0.057673790778709856,0.03170731707317073,2,2
34,도봉구,1,127.034874,37.661465,0.35714285714285715,0.15208461959047775,0.01707317073170732,2,2
35,도봉구,1,127.034775,37.66246,0.35714285714285715,0.07906265183918382,0.00975609756097561,2,2
36,도봉구,1,127.03761,37.661858,0.35714285714285715,0.31780986159241115,0.007317073170731708,2,0
